area2,Skincare2,Level,another,counts
 คาง, มาส์กหน้า,ปานกลาง,มี,1
 คาง, ยารักษาสิว,น้อยมาก,ไม่มี,1
 คาง, เซรั่ม,รุนแรง,ไม่มี,1
 คาง, เซรั่ม,ปานกลาง,ไม่มี,1
 คาง, เซรั่ม,น้อยมาก,มี,1
 คาง, ยารักษาสิว,ปานกลาง,มี,1
 จมูก, โทนเนอร์,ปานกลาง,ไม่มี,3
 จมูก, โทนเนอร์,รุนแรง,มี,1
 จมูก, โทนเนอร์,ปานกลาง,มี,1
 จมูก, เซรั่ม,ปานกลาง,ไม่มี,1
 จมูก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 รอบปาก, โทนเนอร์,ปานกลาง,ไม่มี,1
 รอบปาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 แก้ม, โทนเนอร์,ปานกลาง,ไม่มี,3
 แก้ม, เซรั่ม,ปานกลาง,ไม่มี,3
 แก้ม, มาส์กหน้า,ปานกลาง,มี,2
 แก้ม, โทนเนอร์,ปานกลาง,มี,2
 แก้ม, เซรั่ม,ปานกลาง,มี,2
 แก้ม, เซรั่ม,น้อยมาก,มี,2
 แก้ม, โฟมล้างหน้า,น้อยมาก,ไม่มี,1
 แก้ม, โทนเนอร์,รุนแรง,ไม่มี,1
 แก้ม, โทนเนอร์,น้อยมาก,มี,1
 แก้ม, เซรั่ม,รุนแรง,ไม่มี,1
 แก้ม, เจลล้างหน้า,ปานกลาง,ไม่มี,1
 แก้ม, ยารักษาสิว,รุนแรง,มี,1
 แก้ม, มาส์กหน้า,ปานกลาง,ไม่มี,1
 แก้ม, มาส์กหน้า,น้อยมาก,มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
 แก้ม, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
